name,source,gender,wikidata,type
"Avenue des Archiducs",wikidata,+,Q158256;Q311452,way
"Rue Marie et Pierre Curie",wikidata,+,Q7186;Q37463,way
"Rue Nina et Julien Lefèvre",wikidata,+,Q16439671;Q16439483,way
"Avenue Amélie",wikidata,F,Q452972,way
"Avenue Marie-Thérèse",wikidata,F,Q131706,way
"Boulevard Grande-Duchesse Charlotte",wikidata,F,Q155608,way
"Boulevard Grande-Duchesse Joséphine-Charlotte",wikidata,F,Q160984,way
"Place Jeanne d'Arc",wikidata,F,Q7226,way
"Place Sainte-Cunégonde",wikidata,F,Q61620,way
"Pont Grande-Duchesse Charlotte",wikidata,F,Q155608,way
"Pont Margot Libens-Reiffers",wikidata,F,Q88369447,way
"Rue Andrea Costa-Delvaux",wikidata,F,Q87270953,way
"Rue Anne Beffort",wikidata,F,Q13101548,way
"Rue Annette Schwall-Lacroix",wikidata,F,Q16440147,way
"Rue Astrid",wikidata,F,Q230238,way
"Rue Béatrix de Bourbon",wikidata,F,Q269586,way
"Rue Caroline Baldauff-Rothermel",wikidata,F,Q87613086,way
"Rue Charlotte Engels",wikidata,F,Q16439132,way
"Rue Ermesinde",wikidata,F,Q266160,way
"Rue Fanny Leclerc",wikidata,F,Q96100366,way
"Rue Hildegard von Bingen",wikidata,F,Q70991,way
"Rue Irmine",wikidata,F,Q289060,way
"Rue Joséphine Jacquemart-Jaans",wikidata,F,Q51954657,way
"Rue Lise Meitner",wikidata,F,Q56189,way
"Rue Lou Koster",wikidata,F,Q6685586,way
"Rue Louise Michel",wikidata,F,Q216092,way
"Rue Marguerite Mongenast-Servais",wikidata,F,Q16439863,way
"Rue Marguerite Thomas-Clement",wikidata,F,Q13104033,way
"Rue Marguerite de Brabant",wikidata,F,Q271713,way
"Rue Marguerite de Busbach",wikidata,F,Q87411831,way
"Rue Marguerite-Séraphine Beving",wikidata,F,Q16438942,way
"Rue Marie de Zorn",wikidata,F,Q87408803,way
"Rue Marie-Adélaïde",wikidata,F,Q159075,way
"Rue Marie-Louise Tidick-Ulveling",wikidata,F,Q13104042,way
"Rue Marie-Thérèse Glaesener-Hartmann",wikidata,F,Q13104045,way
"Rue Mère Franziska",wikidata,F,Q88869547,way
"Rue Notre-Dame",wikidata,F,Q345,way
"Rue Rosalind Franklin",wikidata,F,Q7474,way
"Rue Rosemarie Kieffer",wikidata,F,Q13104885,way
"Rue Sainte-Catherine",wikidata,F,Q179718,way
