name,source,gender,wikidata,type
"Ale Wee",,,,way
"Allée de l'Unioun",,,,way
"Allée des Charmes",,,,way
"Allée des Châtaigniers",,,,way
"Allée des Poiriers",,,,way
"Allée des Résistants et des Déportés",,,,way
"Allée du Carmel",,,,way
"Am Bongert",,,,way
"Am Dierfchen",,,,way
"Am Grëndchen",,,,way
"Am Haff",,,,way
"Am Tunnel",,,,way
"Ancienne Côte d'Eich",,,,way
"Ancienne ligne Luxembourg - Echternach",,,,way
"Aqua Tunnel",,,,way
"Autoroute d'Arlon",,,,way
"Autoroute d'Esch",,,,way
"Autoroute de Dudelange",,,,way
"Autoroute de Trèves",,,,way
"Avenue de la Faïencerie",,,,way
"Avenue de la Gare",,,,way
"Avenue de la Liberté",,,,way
"Avenue de la Porte-Neuve",,,,way
"Avenue du Bois",,,,way
"Avenue du Dix Septembre",,,,way
"Bei der Härewiss",,,,way
"Beim Béinchen",,,,way
Béinchen,,,,way
Bisserpart,,,,way
Bisserweg,,,,way
"Boulevard Kaltreis",,,,way
"Boulevard d'Avranches",,,,way
"Boulevard de Kockelscheuer",,,,way
"Boulevard de Merl",,,,way
"Boulevard de Verdun",,,,way
"Boulevard de l'Alzette",,,,way
"Boulevard de la Foire",,,,way
"Boulevard de la Fraternité",,,,way
"Boulevard de la Pétrusse",,,,way
"Boulevard du Brill",,,,way
Brandgässel,,,,way
"Bricher Gaessel",,,,way
"Carré Bonn",,,,way
"Centre Bourse",,,,way
"Centre Brasseur",,,,way
"Centre Neuberg",,,,way
"Chemin Alice Chomé-Bastian",,,,way
"Chemin de Roedgen",,,,way
"Chemin de la Corniche",,,,way
"Circuit de la Foire Internationale",,,,way
"Contournement de Dommeldange",,,,way
"Côte d'Eich",,,,way
"Cour du Couvent",,,,way
"Cour du Théâtre des Capucins",,,,way
Crispinusfiels,,,,way
"Dernier Sol",,,,way
"Desserte Schuman",,,,way
"Échangeur de Kirchberg",,,,way
"Échangeur de Merl",,,,way
"Fond Saint-Martin",,,,way
"Galerie Grand'Rue - Beaumont",,,,way
"Galerie Mercure",,,,way
"Gare routière Lycée de Bonnevoie",,,,way
"Grand Théâtre de Luxembourg",,,,way
Grand-Rue,,,,way
Hiirsekrëpp,,,,way
Hourebréck,,,,way
Ierzewee,,,,way
"Îlot gastronomique",,,,way
"Jonction Grunewald",,,,way
Kiem,,,,way
Knäppchen,,,,way
Kohlenberg,,,,way
Kosakestee,,,,way
Langefeld,,,,way
Leemerwee,,,,way
"Liaison Dommeldange-Kirchberg",,,,way
Marché-aux-Poissons,,,,way
Millegässel,,,,way
"Montée Pilate",,,,way
"Montée Saint-Crépin",,,,way
"Montée Thommes",,,,way
"Montée de Clausen",,,,way
"Montée de Dommeldange",,,,way
"Montée de Pfaffenthal",,,,way
"Montée de la Pétrusse",,,,way
"Montée des Tilleuls",,,,way
"Montée du Grund",,,,way
Mühlenweg,,,,way
"Nouvelle N3",,,,way
"Nouvelle route d'Esch",,,,way
"Op der Heed",,,,way
Paerdswee,,,,way
"Parcours Josy Mersch",,,,way
"Park Dräi Eechelen",,,,way
"Parvis de l'Abbaye",,,,way
"Parvis de la Cathédrale",,,,way
"Parvis de la Gare",,,,way
"Passage Gëlle Klack",,,,way
"Passage Louvigny",,,,way
"Passage de l'Hôtel de Ville",,,,way
Passerelle,,,,way
"Passerelle Mudam",,,,way
"Passerelle du Neudorf",,,,way
"Pénétrante Sud",,,,way
"Petit Passage",,,,way
Petzerhiel,,,,way
"Piste cyclable du Centre",,,,way
"Piste cyclable du Centre (PC 1)",,,,way
"Pit Lane",,,,way
"Place Émile Hamilius",,,,way
"Place Nicolas Philippe",,,,way
"Place Ons Jongen",,,,way
"Place Saints-Pierre-et-Paul",,,,way
"Place Sauerwiss",,,,way
"Place Schmëtt",,,,way
"Place Wallis",,,,way
"Place d'Armes",,,,relation+way
"Place de Bruxelles",,,,way
"Place de Clairefontaine",,,,way
"Place de Durbuy",,,,way
"Place de France",,,,way
"Place de Gand",,,,way
"Place de Liège",,,,relation+way
"Place de Metz",,,,way
"Place de Nancy",,,,way
"Place de Paris",,,,way
"Place de Roedgen",,,,way
"Place de Strasbourg",,,,way
"Place de l'Étoile",,,,way
"Place de l'Europe",,,,relation+way
"Place de la Gare",,,,way
"Place des Bains",,,,way
"Place des Martyrs",,,,way
"Place des Pays-Bas",,,,way
"Place des Rotondes",,,,relation
"Place du Parc",,,,way
"Place du Six Juin 1937",,,,way
"Place du Théatre",,,,way
"Place du Théâtre",,,,relation+way
"Plateau Altmünster",,,,way
"Plateau du Rham",,,,way
"Plateau du Saint-Esprit",,,,way
"Pont Viaduc",,,,way
